,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,pose
11,"['0.6162253', '0.5770078']","['0.6259299', '0.59912694']","['0.62578315', '0.60106087']","['0.5978246', '0.63322574']","['0.5973699', '0.63513845']","['0.51518697', '0.630469']","['0.51330996', '0.6354786']","['0.62657124', '0.71222234']","['0.6374266', '0.7206403']","['0.69716084', '0.8034356']","['0.7195521', '0.8158551']","['0.30746937', '0.4147595']","['0.30209002', '0.40899256']","['0.5066362', '0.30107635']","['0.50492704', '0.29254043']","['0.676765', '0.21924868']","['0.68460804', '0.19456524']",d
12,"['0.66011035', '0.6097677']","['0.6655027', '0.63711286']","['0.6657185', '0.6349975']","['0.6206229', '0.665268']","['0.62234247', '0.66383094']","['0.5517093', '0.65370286']","['0.56524396', '0.63167036']","['0.6672052', '0.7266637']","['0.7009667', '0.722425']","['0.73766786', '0.8252362']","['0.80716157', '0.8482723']","['0.3212649', '0.4003604']","['0.319157', '0.38780972']","['0.53454566', '0.22806446']","['0.53103685', '0.22188224']","['0.7233287', '0.106047034']","['0.73913443', '0.09120993']",d
13,"['0.66699594', '0.36476701']","['0.6692953', '0.34323317']","['0.66762114', '0.34305704']","['0.6339272', '0.3209583']","['0.6350822', '0.31963313']","['0.5774555', '0.36296016']","['0.5746029', '0.36542717']","['0.7184036', '0.30155838']","['0.70969987', '0.3102289']","['0.7988262', '0.20755213']","['0.78752875', '0.215807']","['0.43810928', '0.5755749']","['0.44107187', '0.57267183']","['0.5914125', '0.69666475']","['0.5949331', '0.705135']","['0.7525587', '0.8259154']","['0.7409213', '0.8191021']",d
14,"['0.6488114', '0.3922623']","['0.64455175', '0.37275']","['0.64387053', '0.37116945']","['0.5967129', '0.3510841']","['0.6006379', '0.3479469']","['0.54255354', '0.40458634']","['0.53645754', '0.3998505']","['0.6613051', '0.29410702']","['0.6570244', '0.29458585']","['0.74117154', '0.1662791']","['0.7240411', '0.18107054']","['0.29030657', '0.59490395']","['0.2881306', '0.59175646']","['0.51383686', '0.7493317']","['0.5142876', '0.7504338']","['0.70873606', '0.88901687']","['0.69005835', '0.8694175']",d
15,"['0.6038806', '0.38761044']","['0.6095909', '0.37094724']","['0.6055655', '0.3636165']","['0.5692616', '0.36209407']","['0.56498414', '0.3462253']","['0.5250469', '0.4418807']","['0.47428825', '0.34549794']","['0.6596317', '0.33034578']","['0.59946424', '0.2636804']","['0.7456469', '0.20080082']","['0.6837793', '0.15470487']","['0.27123928', '0.65752965']","['0.26731965', '0.596526']","['0.46836582', '0.76842046']","['0.4722754', '0.7157104']","['0.65564835', '0.85917145']","['0.62755746', '0.79655594']",d
16,"['0.66155946', '0.43269795']","['0.6606425', '0.41231805']","['0.65987027', '0.41038164']","['0.60955083', '0.38968626']","['0.6103535', '0.38594678']","['0.5423564', '0.4527938']","['0.52799827', '0.42723376']","['0.6579223', '0.33228254']","['0.63949287', '0.3195167']","['0.7349225', '0.20117347']","['0.7058887', '0.20183031']","['0.27364153', '0.65464157']","['0.27157196', '0.64045227']","['0.48765618', '0.8015983']","['0.49613604', '0.78414154']","['0.6911068', '0.9086629']","['0.67429394', '0.85865104']",d
17,"['0.62222236', '0.60086167']","['0.623792', '0.6300567']","['0.6259543', '0.63010246']","['0.5778821', '0.6502572']","['0.58008176', '0.65374416']","['0.511018', '0.599536']","['0.5131943', '0.59823185']","['0.642498', '0.7211036']","['0.66071373', '0.7284853']","['0.7192118', '0.83222026']","['0.7610266', '0.85889095']","['0.24070793', '0.33862686']","['0.24032791', '0.3278079']","['0.49501657', '0.20765567']","['0.4945598', '0.20567934']","['0.7046114', '0.09782661']","['0.71754545', '0.086036']",d
18,"['0.6221266', '0.6075149']","['0.63032264', '0.62998766']","['0.6313082', '0.6311376']","['0.6021028', '0.6630883']","['0.6037659', '0.668134']","['0.51947606', '0.64320153']","['0.5277031', '0.6443763']","['0.63076735', '0.70550585']","['0.65227216', '0.69888544']","['0.6847816', '0.79109704']","['0.733669', '0.7997907']","['0.35496196', '0.4471344']","['0.35400522', '0.4447846']","['0.5306526', '0.33688295']","['0.5321189', '0.3377966']","['0.6853158', '0.22539295']","['0.69574046', '0.2092496']",d
19,"['0.6213007', '0.3804993']","['0.6171929', '0.36059093']","['0.61589897', '0.35885108']","['0.5619342', '0.34256816']","['0.566885', '0.33751494']","['0.4991588', '0.39777994']","['0.49325502', '0.3832442']","['0.6465697', '0.2742818']","['0.6272248', '0.28095162']","['0.7685653', '0.1444889']","['0.7083478', '0.17208362']","['0.23746498', '0.6336236']","['0.24732101', '0.6119667']","['0.47914708', '0.7667751']","['0.50327826', '0.70693034']","['0.71395373', '0.90680146']","['0.705207', '0.8138576']",d
20,"['0.6527377', '0.51429754']","['0.65810966', '0.49295598']","['0.656548', '0.49362978']","['0.63114476', '0.45044568']","['0.6300963', '0.4563439']","['0.56746876', '0.46384096']","['0.56116205', '0.4681954']","['0.67917746', '0.3680842']","['0.6612339', '0.37793005']","['0.7482826', '0.25082374']","['0.71904814', '0.2768795']","['0.36208087', '0.661884']","['0.35761902', '0.6567083']","['0.5533725', '0.78194386']","['0.5551849', '0.77310205']","['0.7192927', '0.8856624']","['0.6988572', '0.8445227']",d
21,"['0.557887', '0.46526748']","['0.5667177', '0.45136225']","['0.5634133', '0.44296718']","['0.539465', '0.44270077']","['0.5322476', '0.42720613']","['0.50152236', '0.502757']","['0.46244445', '0.42070985']","['0.61360466', '0.41249052']","['0.5658877', '0.36274415']","['0.68575525', '0.30108175']","['0.63831353', '0.2772819']","['0.2898742', '0.6888812']","['0.28166303', '0.6468581']","['0.4537693', '0.78085357']","['0.4594078', '0.74136984']","['0.6121871', '0.85557336']","['0.5954584', '0.804288']",d
22,"['0.6006443', '0.45951802']","['0.6099811', '0.43847972']","['0.6086994', '0.43738633']","['0.58082056', '0.3989935']","['0.58213', '0.39746496']","['0.50693196', '0.41245925']","['0.5086354', '0.41339058']","['0.61299276', '0.30856833']","['0.61022246', '0.3147197']","['0.66663975', '0.21624371']","['0.65014434', '0.23227963']","['0.3090414', '0.5615001']","['0.31103423', '0.5536965']","['0.47197717', '0.6869279']","['0.47799894', '0.68006337']","['0.64075625', '0.79599166']","['0.6342553', '0.78048086']",d
23,"['0.659076', '0.54206705']","['0.67015916', '0.5664106']","['0.6702063', '0.5670412']","['0.6383617', '0.600519']","['0.6396226', '0.605674']","['0.55669', '0.59948534']","['0.55729765', '0.5818489']","['0.65168583', '0.70126796']","['0.6760931', '0.69875777']","['0.72065026', '0.8049538']","['0.75497144', '0.8044482']","['0.32701004', '0.41902632']","['0.33097365', '0.41569862']","['0.52926123', '0.29467675']","['0.5282162', '0.29800525']","['0.7027438', '0.18852092']","['0.714212', '0.18132608']",d
24,"['0.70065117', '0.48912507']","['0.7138871', '0.5104026']","['0.71287024', '0.5138108']","['0.6874162', '0.5587413']","['0.68524975', '0.5617948']","['0.6032532', '0.5775774']","['0.6021877', '0.58173215']","['0.69749033', '0.6825797']","['0.71809065', '0.7003772']","['0.7713777', '0.80884933']","['0.79336923', '0.8289023']","['0.34819266', '0.39463228']","['0.35732383', '0.40061262']","['0.560619', '0.23782913']","['0.56806874', '0.24269916']","['0.7485402', '0.10705748']","['0.761131', '0.09582125']",d
25,"['0.6284363', '0.6436011']","['0.6323254', '0.67038083']","['0.6314903', '0.6693352']","['0.58691984', '0.6948267']","['0.5853346', '0.6949847']","['0.5318365', '0.6527768']","['0.5323879', '0.65133107']","['0.6391086', '0.72036606']","['0.6499454', '0.7186502']","['0.7077549', '0.81808317']","['0.7215556', '0.82737345']","['0.303242', '0.43956563']","['0.30187038', '0.43907854']","['0.49683067', '0.28505695']","['0.4974625', '0.28601006']","['0.667955', '0.16344395']","['0.6743017', '0.15575218']",d
26,"['0.6867455', '0.4339152']","['0.69307256', '0.45761046']","['0.68963116', '0.43974984']","['0.64949155', '0.48491576']","['0.64541364', '0.43278825']","['0.5226351', '0.48564225']","['0.5332509', '0.37958726']","['0.67627907', '0.6653152']","['0.6863723', '0.4793618']","['0.7924992', '0.88127065']","['0.82336825', '0.69060206']","['0.2233642', '0.32049033']","['0.2282228', '0.20364852']","['0.5186409', '0.21044737']","['0.49247602', '0.10718546']","['0.72325075', '0.11641644']","['0.72706455', '0.0033023506']",d
27,"['0.72125125', '0.39696848']","['0.7425362', '0.37403792']","['0.737549', '0.3770459']","['0.72368145', '0.30287635']","['0.7263685', '0.3084922']","['0.6115439', '0.3047311']","['0.6087887', '0.30501744']","['0.7839702', '0.26686305']","['0.77834934', '0.25080928']","['0.92588955', '0.1866564']","['0.89418614', '0.17282462']","['0.4389514', '0.55895996']","['0.46736985', '0.54019827']","['0.6383637', '0.73624146']","['0.663141', '0.6873025']","['0.8316718', '0.8865163']","['0.83618593', '0.8058921']",d
28,"['0.512229', '0.37253365']","['0.5208446', '0.35884106']","['0.51568633', '0.3558295']","['0.5115164', '0.3328193']","['0.5037949', '0.3342708']","['0.47161466', '0.34346548']","['0.42093146', '0.34775585']","['0.5745615', '0.29176104']","['0.4926126', '0.3176905']","['0.6503625', '0.22150618']","['0.52968127', '0.2667339']","['0.27911934', '0.52019393']","['0.26323694', '0.51456827']","['0.4514276', '0.60269594']","['0.4408629', '0.6097191']","['0.5906854', '0.70107347']","['0.559989', '0.6857262']",d
29,"['0.58511114', '0.47281978']","['0.60039103', '0.45001766']","['0.59451485', '0.45030692']","['0.5799152', '0.4050107']","['0.57488453', '0.41071612']","['0.49990743', '0.4016242']","['0.49625143', '0.4100542']","['0.64074874', '0.3141987']","['0.63912743', '0.31829175']","['0.76050395', '0.19957547']","['0.74100167', '0.22329587']","['0.31911173', '0.6053889']","['0.3220458', '0.60029036']","['0.534856', '0.7352061']","['0.5446039', '0.72078514']","['0.73617774', '0.8505488']","['0.71707046', '0.807049']",d
30,"['0.70497173', '0.55228776']","['0.7129141', '0.57861596']","['0.7133359', '0.5785143']","['0.66518503', '0.6049539']","['0.66421247', '0.6052041']","['0.5779436', '0.576294']","['0.581505', '0.5749814']","['0.6917504', '0.68117154']","['0.7158899', '0.6853618']","['0.74790555', '0.7826911']","['0.79391867', '0.82067585']","['0.304019', '0.36533132']","['0.3045196', '0.3566975']","['0.5472964', '0.22234775']","['0.5389672', '0.21301512']","['0.72368664', '0.10582807']","['0.76053715', '0.061140247']",d
31,"['0.5685707', '0.36415392']","['0.56422746', '0.34196776']","['0.5604304', '0.33886155']","['0.51788116', '0.3232125']","['0.5167862', '0.32357854']","['0.47066674', '0.3853487']","['0.44963852', '0.37530297']","['0.58812165', '0.29788268']","['0.55434114', '0.30383158']","['0.6714431', '0.17384337']","['0.61894774', '0.18931888']","['0.29885936', '0.63729686']","['0.29272154', '0.61981326']","['0.49331278', '0.7431519']","['0.49564227', '0.714138']","['0.663067', '0.8723885']","['0.63522184', '0.79731125']",d
32,"['0.6867455', '0.4339152']","['0.69307256', '0.45761046']","['0.68963116', '0.43974984']","['0.64949155', '0.48491576']","['0.64541364', '0.43278825']","['0.5226351', '0.48564225']","['0.5332509', '0.37958726']","['0.67627907', '0.6653152']","['0.6863723', '0.4793618']","['0.7924992', '0.88127065']","['0.82336825', '0.69060206']","['0.2233642', '0.32049033']","['0.2282228', '0.20364852']","['0.5186409', '0.21044737']","['0.49247602', '0.10718546']","['0.72325075', '0.11641644']","['0.72706455', '0.0033023506']",d
33,"['0.62222236', '0.60086167']","['0.623792', '0.6300567']","['0.6259543', '0.63010246']","['0.5778821', '0.6502572']","['0.58008176', '0.65374416']","['0.511018', '0.599536']","['0.5131943', '0.59823185']","['0.642498', '0.7211036']","['0.66071373', '0.7284853']","['0.7192118', '0.83222026']","['0.7610266', '0.85889095']","['0.24070793', '0.33862686']","['0.24032791', '0.3278079']","['0.49501657', '0.20765567']","['0.4945598', '0.20567934']","['0.7046114', '0.09782661']","['0.71754545', '0.086036']",d
34,"['0.5960941', '0.37351775']","['0.60817933', '0.3496022']","['0.60584646', '0.34931263']","['0.5799548', '0.2998939']","['0.57857096', '0.30348447']","['0.4894399', '0.332717']","['0.49169356', '0.3333223']","['0.6310937', '0.23738627']","['0.6236524', '0.24173385']","['0.72269243', '0.13073856']","['0.6972559', '0.1446128']","['0.27934918', '0.56525797']","['0.28009796', '0.56680524']","['0.5009624', '0.7095657']","['0.50085145', '0.702895']","['0.6896001', '0.8362946']","['0.6795656', '0.82239914']",d
35,"['0.6527377', '0.51429754']","['0.65810966', '0.49295598']","['0.656548', '0.49362978']","['0.63114476', '0.45044568']","['0.6300963', '0.4563439']","['0.56746876', '0.46384096']","['0.56116205', '0.4681954']","['0.67917746', '0.3680842']","['0.6612339', '0.37793005']","['0.7482826', '0.25082374']","['0.71904814', '0.2768795']","['0.36208087', '0.661884']","['0.35761902', '0.6567083']","['0.5533725', '0.78194386']","['0.5551849', '0.77310205']","['0.7192927', '0.8856624']","['0.6988572', '0.8445227']",d
36,"['0.6006443', '0.45951802']","['0.6099811', '0.43847972']","['0.6086994', '0.43738633']","['0.58082056', '0.3989935']","['0.58213', '0.39746496']","['0.50693196', '0.41245925']","['0.5086354', '0.41339058']","['0.61299276', '0.30856833']","['0.61022246', '0.3147197']","['0.66663975', '0.21624371']","['0.65014434', '0.23227963']","['0.3090414', '0.5615001']","['0.31103423', '0.5536965']","['0.47197717', '0.6869279']","['0.47799894', '0.68006337']","['0.64075625', '0.79599166']","['0.6342553', '0.78048086']",d
37,"['0.6284363', '0.6436011']","['0.6323254', '0.67038083']","['0.6314903', '0.6693352']","['0.58691984', '0.6948267']","['0.5853346', '0.6949847']","['0.5318365', '0.6527768']","['0.5323879', '0.65133107']","['0.6391086', '0.72036606']","['0.6499454', '0.7186502']","['0.7077549', '0.81808317']","['0.7215556', '0.82737345']","['0.303242', '0.43956563']","['0.30187038', '0.43907854']","['0.49683067', '0.28505695']","['0.4974625', '0.28601006']","['0.667955', '0.16344395']","['0.6743017', '0.15575218']",d
38,"['0.68397725', '0.56178635']","['0.6882698', '0.5817513']","['0.6878745', '0.58387613']","['0.66454405', '0.61255014']","['0.6626827', '0.60851705']","['0.60940826', '0.5906208']","['0.60916895', '0.59252435']","['0.70137215', '0.64681286']","['0.7065734', '0.6479733']","['0.7625057', '0.7283077']","['0.7687165', '0.7368182']","['0.42199263', '0.41271394']","['0.42242315', '0.41218948']","['0.5917624', '0.31041837']","['0.58658135', '0.3049966']","['0.73812306', '0.22248058']","['0.7477693', '0.20358792']",d
39,"['0.5192179', '0.35464674']","['0.5287555', '0.3303242']","['0.528836', '0.32872906']","['0.48926446', '0.30021086']","['0.48901734', '0.29780442']","['0.43817773', '0.3531979']","['0.42889184', '0.33838585']","['0.6203353', '0.3168389']","['0.5785185', '0.31466505']","['0.7655264', '0.2454059']","['0.6953231', '0.2596515']","['0.24607848', '0.6328642']","['0.24155001', '0.6243834']","['0.5053492', '0.75865054']","['0.487046', '0.7399947']","['0.75778043', '0.83353376']","['0.6641983', '0.7811362']",d
40,"['0.6320399', '0.46594596']","['0.63885516', '0.45148924']","['0.6399379', '0.4522685']","['0.6177373', '0.41211203']","['0.6202167', '0.41493827']","['0.55778754', '0.4011623']","['0.54102904', '0.4108284']","['0.64376736', '0.31142962']","['0.619901', '0.30826947']","['0.71458274', '0.1960898']","['0.68165153', '0.20415711']","['0.30083075', '0.6136173']","['0.29692087', '0.60747695']","['0.5051279', '0.73333263']","['0.5075377', '0.7313054']","['0.70220494', '0.8499483']","['0.6727354', '0.8208652']",d
41,"['0.61102796', '0.42469725']","['0.6167345', '0.40936702']","['0.6158598', '0.40851262']","['0.5931542', '0.376414']","['0.59459573', '0.3743147']","['0.53313386', '0.39195633']","['0.52808744', '0.39002064']","['0.63453484', '0.308404']","['0.63406', '0.31450436']","['0.7125607', '0.21523221']","['0.6972861', '0.22802597']","['0.32762536', '0.5683478']","['0.32342827', '0.56765485']","['0.50948226', '0.68803024']","['0.50694686', '0.6839923']","['0.6758568', '0.79707944']","['0.66221815', '0.7715694']",d
42,"['0.5772723', '0.57754403']","['0.6051118', '0.5707817']","['0.57985705', '0.59358335']","['0.62045205', '0.5412799']","['0.571495', '0.59462446']","['0.5573056', '0.46187934']","['0.48490828', '0.60237366']","['0.6220676', '0.29563484']","['0.6338534', '0.7168553']","['0.6598153', '0.16033152']","['0.7418947', '0.8515566']","['0.26408917', '0.3548789']","['0.21111579', '0.35185534']","['0.46997234', '0.22115022']","['0.4576443', '0.20594375']","['0.6624758', '0.1331322']","['0.68436193', '0.0907271']",d
43,"['0.58511114', '0.47281978']","['0.60039103', '0.45001766']","['0.59451485', '0.45030692']","['0.5799152', '0.4050107']","['0.57488453', '0.41071612']","['0.49990743', '0.4016242']","['0.49625143', '0.4100542']","['0.64074874', '0.3141987']","['0.63912743', '0.31829175']","['0.76050395', '0.19957547']","['0.74100167', '0.22329587']","['0.31911173', '0.6053889']","['0.3220458', '0.60029036']","['0.534856', '0.7352061']","['0.5446039', '0.72078514']","['0.73617774', '0.8505488']","['0.71707046', '0.807049']",d
44,"['0.70497173', '0.55228776']","['0.7129141', '0.57861596']","['0.7133359', '0.5785143']","['0.66518503', '0.6049539']","['0.66421247', '0.6052041']","['0.5779436', '0.576294']","['0.581505', '0.5749814']","['0.6917504', '0.68117154']","['0.7158899', '0.6853618']","['0.74790555', '0.7826911']","['0.79391867', '0.82067585']","['0.304019', '0.36533132']","['0.3045196', '0.3566975']","['0.5472964', '0.22234775']","['0.5389672', '0.21301512']","['0.72368664', '0.10582807']","['0.76053715', '0.061140247']",d
45,"['0.61015457', '0.25202203']","['0.61704814', '0.23127471']","['0.6166329', '0.2315294']","['0.59004706', '0.20011802']","['0.5911655', '0.20403375']","['0.54190344', '0.22487655']","['0.532128', '0.2205565']","['0.65818167', '0.17018266']","['0.6257848', '0.17065033']","['0.72428954', '0.111266404']","['0.6976958', '0.12067635']","['0.38807702', '0.4257781']","['0.38435733', '0.42144778']","['0.54243684', '0.51172316']","['0.5457298', '0.50100034']","['0.68401796', '0.5794219']","['0.67450356', '0.5556486']",d
46,"['0.7541793', '0.43842337']","['0.7545839', '0.42113143']","['0.7544453', '0.4221238']","['0.7258279', '0.3970224']","['0.72208196', '0.39242578']","['0.67255664', '0.41901177']","['0.6660286', '0.42300588']","['0.76452434', '0.34082422']","['0.752742', '0.34920156']","['0.8075273', '0.24738498']","['0.80033064', '0.25652677']","['0.5015202', '0.5643487']","['0.49939138', '0.56335235']","['0.65063316', '0.6560243']","['0.65340006', '0.6519721']","['0.7849537', '0.76442295']","['0.7714742', '0.74582684']",d
47,"['0.5862056', '0.4973738']","['0.59724045', '0.48156896']","['0.5937669', '0.4833202']","['0.59415', '0.43404827']","['0.5917137', '0.44399762']","['0.54559344', '0.41879764']","['0.5253407', '0.4383362']","['0.64590245', '0.34729114']","['0.6051368', '0.3625754']","['0.72470176', '0.2637729']","['0.67104983', '0.2948821']","['0.37757277', '0.6194043']","['0.37196434', '0.61357445']","['0.5338615', '0.7278727']","['0.53773165', '0.7168526']","['0.68498737', '0.823587']","['0.65462315', '0.77881265']",d
48,"['0.6395982', '0.5397428']","['0.64499533', '0.5219952']","['0.64226174', '0.52184135']","['0.6193545', '0.48969856']","['0.61649907', '0.49320066']","['0.5656575', '0.5065915']","['0.5507352', '0.50999314']","['0.68235403', '0.45002505']","['0.6623234', '0.4481142']","['0.7833295', '0.37376213']","['0.7450479', '0.39085305']","['0.38512915', '0.7302496']","['0.37924728', '0.7271592']","['0.5633952', '0.8235024']","['0.565285', '0.82139397']","['0.7329777', '0.91265273']","['0.71737206', '0.8919543']",d
49,"['0.512229', '0.37253365']","['0.5208446', '0.35884106']","['0.51568633', '0.3558295']","['0.5115164', '0.3328193']","['0.5037949', '0.3342708']","['0.47161466', '0.34346548']","['0.42093146', '0.34775585']","['0.5745615', '0.29176104']","['0.4926126', '0.3176905']","['0.6503625', '0.22150618']","['0.52968127', '0.2667339']","['0.27911934', '0.52019393']","['0.26323694', '0.51456827']","['0.4514276', '0.60269594']","['0.4408629', '0.6097191']","['0.5906854', '0.70107347']","['0.559989', '0.6857262']",d
50,"['0.62794244', '0.39055476']","['0.6317572', '0.36968565']","['0.63083017', '0.3680195']","['0.5913643', '0.32995528']","['0.5947384', '0.33217517']","['0.5176778', '0.35918245']","['0.50702584', '0.3590998']","['0.65034586', '0.2490026']","['0.62989897', '0.2480953']","['0.73862135', '0.115467735']","['0.7098788', '0.13026923']","['0.27402323', '0.60086024']","['0.27417904', '0.5888253']","['0.49941516', '0.7791943']","['0.5021978', '0.77492446']","['0.7028483', '0.917818']","['0.6984075', '0.9009347']",d
51,"['0.59856564', '0.38937497']","['0.6021733', '0.36840922']","['0.60053796', '0.36628753']","['0.5646116', '0.3309772']","['0.56522924', '0.33084995']","['0.5069382', '0.36236712']","['0.48445374', '0.36065528']","['0.63167256', '0.25437656']","['0.60378903', '0.25656062']","['0.7289583', '0.14361995']","['0.6808856', '0.1669823']","['0.27988786', '0.60535574']","['0.27657622', '0.59602904']","['0.48286328', '0.76034874']","['0.4794892', '0.74610364']","['0.67921805', '0.9159227']","['0.640684', '0.8478623']",d
52,"['0.6232592', '0.37785658']","['0.6221055', '0.3546117']","['0.62041706', '0.356412']","['0.570283', '0.34315264']","['0.5731391', '0.34068716']","['0.5139508', '0.3978977']","['0.50436836', '0.40039873']","['0.6450149', '0.28378665']","['0.62982106', '0.2903929']","['0.7249081', '0.15626211']","['0.7024288', '0.17066815']","['0.29315203', '0.67178786']","['0.28583103', '0.6614883']","['0.54250133', '0.70767605']","['0.53463256', '0.70842785']","['0.69656193', '0.8888282']","['0.6739623', '0.86979836']",d
